2678936131	1801065994	3925136598	285088606
2902994659	2749800524	981008623	3278294857
3120012504	1005351892	3596170750	3566470448
1094939202	833056914	1316546410	374647864
396278660	1623889530	695684624	178968505
2803360974	3130351381	787495055	3938989443
3594629549	3286591762	1672384408	1224096148
2337306214	2508353912	3001730636	841052288
1525181446	2374977610	1170801652	2256966959
3653564570	3119937819	1030017073	2000200253
986832661	902443057	522590424	3699649044
3165443350	2933774703	1322388439	861253817
3107208077	23287591	2923511416	4279754090
4188163472	1574259772	4077193684	1391187959
2657884657	1986519768	1097392790	4000717251
509356983	3696351921	1599701508	36576704
494765669	1006031639	2124752235	2956115680
3825904525	3102598857	2416239330	4026901012
99102883	2445045060	4241224940	3112025840
658674242	3514567234	3759070677	4015583343
2485398849	2008781928	4213644293	2711894261
4122879223	208521924	383577362	2664507118
1789886792	1391255439	3892809429	3843856507
967509790	276956416	908983061	556809587
2483331710	960418909	3152973311	3915871130
2815476852	4110001454	2789704747	319664283
212899779	3788955736	3854101801	2700248300
4076591856	2988594710	242774651	644225357
3422026865	813963693	4255149009	3626248051
3507846927	3660372398	2053506782	3752024196
977498974	1495972814	1685739740	4139973157
581534058	2192834356	1500667717	1444954986
1764035582	3329042170	3551096945	2736885188
1756990311	393612721	1372649208	1303976876
3348584366	906036192	348504541	4146169677
2111659296	3935784039	2670432492	3632085471
3073572538	854234493	2815884128	3432710174
1099258748	3393071606	1877259195	2169018117
1255525727	1528046582	3128591524	2640732497
1733689025	3396269547	554215409	2115815175
1101524617	1295818327	920058484	3197403885
2331994703	1617413258	4158396904	2263185360
1628846326	4008150744	28385228	2604448076
611671813	3540639951	2380573085	3733246471
1956832700	4267053118	3702616271	519331948
2412565403	2196064554	3027303040	3765371919
1257365546	3016677221	251160613	3587120461
935145036	3441082791	2597826467	573857235
363648368	3215924198	3402320914	704800922
3791482575	3655544012	3114519600	2906050952
3756022216	692266293	1842285020	496964989
3044438056	879608180	1273868653	170267960
207301216	1241517044	2088766017	2987725699
1206778334	927712585	1569924690	3064536366
747921629	2937763958	450990254	674973722
1859096455	2538366583	793847623	2793388483
2412152341	4233213412	283930400	3983888759
